id,item,safety_stock,safety_stock_building_2,notes,default_building
1,010251,1,NULL,NULL,1
2,010291,3,NULL,NULL,1
3,010931,8,NULL,NULL,1
4,011211,8,NULL,NULL,1
5,011221,1,NULL,NULL,1
6,011231,1,NULL,NULL,1
7,011371,3,NULL,NULL,1
8,011411,14,NULL,NULL,1
9,011441,25,NULL,NULL,1
10,011631,9,NULL,NULL,1
11,011641,4,NULL,NULL,1
12,011801,6,NULL,NULL,1
13,011901,1,NULL,NULL,1
14,011921,24,NULL,NULL,1
15,012061,5,NULL,NULL,1
16,012071,10,NULL,NULL,1
17,012081,3,NULL,NULL,1
18,012141,10,NULL,NULL,1
19,012791,21,NULL,NULL,1
20,012861,5,NULL,NULL,1
21,013871,2,NULL,NULL,1
22,014841,2,NULL,NULL,1
23,016381,16,NULL,NULL,1
24,016442,NULL,4,NULL,2
25,016451,35,NULL,NULL,1
26,016471,NULL,4,NULL,2
27,016491,12,NULL,NULL,1
28,099301,1,NULL,NULL,1
29,099311,1,NULL,NULL,1
30,100351,2,NULL,NULL,1
31,101121,2,NULL,NULL,1
32,101131,2,NULL,NULL,1
33,101291,7,NULL,NULL,1
34,101301,1,NULL,NULL,1
36,101321,6,NULL,NULL,1
37,101551,1,NULL,NULL,1
38,101571,0,NULL,NULL,1
39,101621,21,NULL,NULL,1
40,101641,1,NULL,NULL,1
41,101681,4,NULL,NULL,1
42,101781,1,NULL,NULL,1
43,101831,9,NULL,NULL,1
44,101841,4,NULL,NULL,1
45,101981,6,NULL,NULL,1
46,102041,1,NULL,NULL,1
47,102081,1,NULL,NULL,1
48,102091,1,NULL,NULL,1
50,102321,1,NULL,NULL,1
51,102371,1,NULL,NULL,1
52,102381,1,NULL,NULL,1
53,102411,9,NULL,NULL,1
54,102421,1,NULL,NULL,1
55,102431,1,NULL,NULL,1
56,102451,2,NULL,NULL,1
57,102541,1,NULL,NULL,1
58,102601,2,NULL,NULL,1
59,102621,6,NULL,NULL,1
60,102791,15,NULL,NULL,1
61,102801,5,NULL,NULL,1
62,102811,3,NULL,NULL,1
63,102821,3,NULL,NULL,1
64,103361,NULL,1,NULL,2
65,105391,1,NULL,NULL,1
66,106381,5,NULL,NULL,1
67,106391,5,NULL,NULL,1
68,106451,6,NULL,NULL,1
69,106461,6,NULL,NULL,1
70,106871,4,NULL,NULL,1
71,106881,4,NULL,NULL,1
72,302811,1,NULL,NULL,1
73,302821,1,NULL,NULL,1
74,302951,1,NULL,NULL,1
75,302961,1,NULL,NULL,1
76,303311,2,NULL,NULL,1
77,303321,1,NULL,NULL,1
78,303941,3,NULL,NULL,1
79,304731,3,NULL,NULL,1
80,309651,0,NULL,NULL,1
81,309661,0,NULL,NULL,1
82,309671,0,NULL,NULL,1
83,309741,0,NULL,NULL,1
84,500541,4,NULL,NULL,1
85,010391,NULL,17,NULL,2
86,010871,NULL,1,NULL,2
88,011361,NULL,13,NULL,2
89,011851,NULL,2,NULL,2
90,011931,NULL,2,NULL,2
91,011951,NULL,2,NULL,2
94,012031,NULL,6,NULL,2
95,012041,NULL,1,NULL,2
96,012051,NULL,2,NULL,2
98,100341,NULL,8,NULL,2
99,101611,NULL,13,NULL,2
103,102261,NULL,10,NULL,2
105,102331,NULL,2,NULL,2
106,102341,NULL,1,NULL,2
107,102351,NULL,2,NULL,2
108,106591,NULL,2,NULL,2
109,302321,NULL,1,NULL,2
112,018761,4,NULL,NULL,1
113,108761,4,NULL,NULL,1
114,109511,NULL,3,NULL,2
116,109501,NULL,2,NULL,2
117,016871,8,NULL,NULL,1
118,012211,10,0,NULL,1
119,016501,NULL,8,NULL,2
120,304411,5,NULL,NULL,1
121,304421,5,NULL,NULL,1
