id,item,safety_stock,safety_stock_building_2,notes,default_building
1,286116,4,4,NULL,1
2,285144,NULL,NULL,NULL,1
3,284110,NULL,NULL,"half batch (8 ropacks equal 4)",1
4,285139,NULL,NULL,NULL,1
5,285140,NULL,NULL,NULL,1
6,284111,8,NULL,NULL,1
7,284112,8,NULL,NULL,1
8,284113,12,NULL,NULL,1
9,284114,8,NULL,NULL,1
10,285025,8,0,NULL,1
11,285068,4,NULL,NULL,1
12,285071,NULL,NULL,NULL,1
13,285083,0,0,NULL,1
14,285101,NULL,NULL,NULL,1
15,285115,24,NULL,NULL,1
16,285131,6,NULL,NULL,1
17,285135,NULL,NULL,NULL,1
18,285141,NULL,NULL,NULL,1
19,285143,8,NULL,NULL,1
20,285145,8,0,NULL,1
21,285146,8,NULL,NULL,1
22,285148,2,NULL,NULL,1
23,286003,4,0,NULL,1
24,286021,NULL,NULL,NULL,1
25,286022,8,NULL,NULL,1
26,286060,NULL,NULL,NULL,1
27,286109,0,0,NULL,1
28,286120,NULL,4,EXPANSION,1
29,286123,0,0,NULL,1
30,286127,2,NULL,NULL,1
31,286128,2,NULL,NULL,1
32,286129,20,NULL,NULL,1
33,286130,20,NULL,NULL,1
34,286133,20,NULL,NULL,1
35,286136,8,NULL,NULL,1
36,286137,4,NULL,NULL,1
37,286139,4,NULL,NULL,1
38,286140,4,NULL,NULL,1
39,286142,NULL,NULL,NULL,1
40,287001,NULL,NULL,NULL,1
41,287022,NULL,NULL,NULL,1
42,287104,4,NULL,NULL,1
43,287107,2,NULL,NULL,1
44,287108,12,0,NULL,1
45,287109,NULL,NULL,NULL,1
46,284105,NULL,NULL,NULL,1
48,284116,4,NULL,NULL,1
49,285076,0,0,NULL,1
50,285095,0,0,NULL,1
51,285100,0,0,NULL,1
52,285106,NULL,NULL,NULL,1
53,285107,NULL,NULL,NULL,1
54,285112,NULL,NULL,NULL,1
55,285118,0,0,NULL,1
56,285122,0,0,NULL,1
57,285129,0,0,NULL,1
58,285130,0,0,NULL,1
60,285142,NULL,16,EXPANSION,1
61,285149,12,NULL,"Half Batches",1
62,286072,0,0,NULL,1
63,286102,0,0,NULL,1
64,286105,0,0,NULL,1
65,286118,0,0,NULL,1
66,286119,NULL,NULL,EXPANSION,1
67,286126,0,0,NULL,1
68,286131,0,0,NULL,1
70,287008,NULL,NULL,NULL,1
71,287020,0,0,NULL,1
73,287032,0,0,NULL,1
74,284109,NULL,NULL,NULL,1
75,285049,NULL,NULL,NULL,1
76,285123,NULL,4,EXPANSION,1
77,285126,NULL,16,EXPANSION,1
78,285147,NULL,NULL,NULL,1
79,286050,NULL,NULL,NULL,1
80,286108,NULL,0,NULL,1
81,286112,NULL,NULL,NULL,1
82,286125,NULL,4,EXPANSION,1
83,286134,NULL,24,EXPANSION,1
84,286138,NULL,4,EXPANSION,1
85,287025,NULL,NULL,NULL,1
86,287101,NULL,0,NULL,1
87,287105,NULL,NULL,NULL,1
88,287106,NULL,0,NULL,1
89,285096,0,NULL,NULL,1
90,285127,NULL,NULL,NULL,1
91,285117,0,NULL,NULL,1
93,286070,NULL,NULL,NULL,1
94,286122,NULL,NULL,NULL,1
95,284108,0,0,NULL,1
96,285111,NULL,NULL,NULL,1
97,286141,12,NULL,NULL,1
98,284115,8,NULL,NULL,1
99,286143,8,NULL,NULL,1
100,286144,8,NULL,NULL,1
101,286145,8,NULL,NULL,1
102,287014,0,0,NULL,1
106,285150,NULL,2,EXPANSION,1
107,286107,0,0,,1
110,206077,NULL,NULL,NULL,1
111,284017,NULL,NULL,NULL,1
112,284018,NULL,NULL,NULL,1
113,284100,NULL,NULL,NULL,1
114,284101,NULL,NULL,NULL,1
115,284106,NULL,NULL,NULL,1
116,284107,NULL,NULL,NULL,1
117,285069,NULL,NULL,NULL,1
118,285074,NULL,NULL,NULL,1
119,285079,NULL,NULL,NULL,1
120,285092,NULL,NULL,NULL,1
121,285102,NULL,NULL,NULL,1
122,285104,NULL,NULL,NULL,1
123,285113,NULL,NULL,NULL,1
124,285114,NULL,NULL,NULL,1
125,285121,NULL,NULL,NULL,1
126,286057,NULL,NULL,NULL,1
127,286065,NULL,NULL,NULL,1
128,286067,NULL,NULL,NULL,1
129,286100,NULL,NULL,NULL,1
130,286111,NULL,NULL,NULL,1
131,286114,NULL,NULL,NULL,1
132,287110,NULL,NULL,NULL,1
133,285151,4,NULL,NULL,1
134,285152,4,NULL,NULL,1
135,286147,1,NULL,"only run 1 max at a time",1
136,286148,8,NULL,NULL,1
137,286149,8,NULL,NULL,1
138,286150,16,NULL,NULL,1
139,286146,4,NULL,NULL,1
141,285128,NULL,NULL,NULL,1
142,286113,NULL,NULL,NULL,1
144,285048,NULL,NULL,NULL,1
145,285084,NULL,NULL,NULL,1
146,285086,NULL,NULL,NULL,1
147,285087,NULL,NULL,NULL,1
148,285088,NULL,NULL,NULL,1
149,285089,NULL,NULL,NULL,1
150,285098,NULL,NULL,NULL,1
151,285094,NULL,NULL,NULL,1
152,285103,NULL,NULL,NULL,1
153,285105,NULL,NULL,NULL,1
154,285108,NULL,NULL,NULL,1
155,285109,NULL,NULL,NULL,1
156,285110,NULL,NULL,NULL,1
157,285116,NULL,NULL,NULL,1
158,285119,NULL,NULL,NULL,1
159,285120,NULL,NULL,NULL,1
160,285132,NULL,NULL,NULL,1
161,285133,NULL,NULL,NULL,1
162,285134,NULL,NULL,NULL,1
163,285136,NULL,NULL,NULL,1
164,285137,NULL,NULL,NULL,1
165,285138,NULL,NULL,NULL,1
166,285125,NULL,NULL,NULL,1
167,286001,NULL,NULL,NULL,1
168,286036,NULL,NULL,NULL,1
169,286037,NULL,NULL,NULL,1
170,286039,NULL,NULL,NULL,1
171,286042,NULL,NULL,NULL,1
172,286047,NULL,NULL,NULL,1
173,286062,NULL,NULL,NULL,1
174,286069,NULL,NULL,NULL,1
175,286074,NULL,NULL,NULL,1
176,286101,NULL,NULL,NULL,1
177,286103,NULL,NULL,NULL,1
178,286104,NULL,NULL,NULL,1
179,286106,NULL,NULL,NULL,1
180,286110,NULL,NULL,NULL,1
181,286115,NULL,NULL,NULL,1
182,286117,NULL,NULL,NULL,1
183,286121,NULL,NULL,NULL,1
184,286124,NULL,NULL,NULL,1
185,287003,NULL,NULL,NULL,1
186,287006,NULL,NULL,NULL,1
187,287013,NULL,NULL,NULL,1
188,287021,NULL,NULL,NULL,1
189,287023,NULL,NULL,NULL,1
190,287026,NULL,NULL,NULL,1
191,287033,NULL,NULL,NULL,1
192,287100,NULL,NULL,NULL,1
193,287102,NULL,NULL,NULL,1
194,287103,NULL,NULL,NULL,1
195,287111,NULL,NULL,NULL,1
196,224010,6000,NULL,"Total is pieces not weight",1
198,286151,NULL,NULL,NULL,1
