part_number,rack_location_id,qty,stored_at,updated_at
RH012,"IRM CARBON",80000,"2021-10-08 09:05:57","2023-10-04 13:27:59"
TA091,"HOT ROOM",67528,"2021-10-08 09:38:20","2023-11-08 05:18:01"
EB014,"IRM POLYMER",10800,"2021-12-07 10:02:29","2021-12-07 10:02:35"
EC071,"IRM POLYMER",2700,"2021-12-07 10:04:37",NULL
TS027,"IRM POLYMER",2772,"2021-12-07 10:16:23","2023-10-03 05:06:11"
TE015,"IRM POLYMER",5544,"2021-12-07 10:18:31","2022-10-18 07:06:22"
BM115,1-IRM-1-1-3-2,176,"2022-05-25 07:22:07",NULL
WH053,WHARTON,25450,"2022-07-25 09:39:09","2023-08-18 10:20:22"
WE015,BWST,37500,"2022-11-02 07:28:40","2023-09-20 07:36:55"
BM112,1-IRM-2-2-3-2,2200,"2022-12-01 10:31:34",NULL
RH090,"IRM CARBON",19800,"2022-12-07 08:23:21","2023-10-04 11:40:10"
TA091,TA091,102564,"2023-01-03 08:19:34","2023-09-27 09:19:05"
WF012,1-IRM-1-3-1-3,110,"2023-01-03 08:23:28","2023-09-13 08:47:53"
WM422,1-IRM-1-2-1-2,1760,"2023-02-21 14:18:17","2023-09-28 05:40:23"
RP078,1-IRM-2-1-3-3,88,"2023-03-06 14:27:10","2023-07-10 05:01:09"
WF239,1-IRM-1-1-1-2,396,"2023-03-22 04:53:27","2023-10-02 04:08:48"
TA091,BWST,670824,"2023-03-23 08:25:00","2023-10-04 07:21:56"
BM112,1-IRM-2-3-1-3,605,"2023-03-28 06:50:37","2023-09-27 07:29:26"
PM116,"IRM POLYMER",50401,"2023-04-06 04:21:20","2023-09-27 09:20:07"
WN031,1-IRM-1-2-2-2,200,"2023-04-06 04:27:23","2023-10-04 05:24:12"
WN375,BWST,2376,"2023-04-10 08:44:52","2023-10-04 07:21:25"
RM017,1-IRM-1-1-2-1,2200,"2023-05-02 04:17:53",NULL
RM017,1-IRM-1-2-3-2,2200,"2023-05-02 04:19:15",NULL
RM017,1-IRM-2-1-2-1,2200,"2023-05-02 04:20:42",NULL
WF213,1-IRM-1-2-2-1,275,"2023-06-27 04:43:38","2023-09-07 04:36:47"
WL022,1-ZINC-1-1-3-2,2000,"2023-07-07 11:45:20",NULL
WL022,1-ZINC-1-1-2-2,2000,"2023-07-07 11:45:27",NULL
WL022,1-ZINC-1-1-1-2,2000,"2023-07-07 11:45:33",NULL
WL022,1-ZINC-1-1-4-1,2000,"2023-07-07 11:45:40",NULL
WL022,1-ZINC-1-1-3-1,2000,"2023-07-07 11:45:48",NULL
WL022,1-ZINC-1-1-2-1,2000,"2023-07-07 11:45:54",NULL
WL022,1-ZINC-1-1-1-1,2000,"2023-07-07 11:46:00",NULL
WF057,1-IRM-1-3-2-1,1320,"2023-07-18 04:13:00",NULL
WH053,"IRM CARBON",600,"2023-07-18 05:44:02","2023-10-03 12:48:37"
WH011,WHARTON,57200,"2023-07-31 09:50:45","2023-09-21 06:37:15"
TA091,WHARTON,997920,"2023-08-02 06:24:40","2023-09-22 04:33:06"
WL013,1-IRM-3-1-2-3,2250,"2023-08-08 04:16:22",NULL
WL013,1-IRM-3-1-3-3,2250,"2023-08-08 04:17:59",NULL
WL013,1-IRM-3-1-3-2,2250,"2023-08-08 04:19:17",NULL
WL013,1-IRM-3-1-3-1,2250,"2023-08-08 04:20:36",NULL
WL013,1-IRM-3-1-2-2,2250,"2023-08-08 04:21:42",NULL
WL013,1-IRM-3-1-2-1,2250,"2023-08-08 04:22:49",NULL
WL013,1-IRM-2-3-3-2,2250,"2023-08-08 04:24:13",NULL
ED031,"IRM POLYMER",616,"2023-08-09 06:11:15",NULL
BM113,1-IRM-1-2-2-3,880,"2023-08-17 06:24:59",NULL
WF025,1-IRM-2-2-3-3,1100,"2023-08-17 06:26:31",NULL
WF025,1-IRM-2-1-3-2,1100,"2023-08-17 06:28:18",NULL
WF025,1-IRM-3-1-1-1,1100,"2023-08-17 06:29:49",NULL
WE015,1-IRM-2-3-3-1,2500,"2023-08-18 10:12:46",NULL
BM113,1-IRM-1-2-3-1,880,"2023-08-31 04:41:38",NULL
BM113,1-IRM-1-3-1-1,880,"2023-08-31 05:23:14",NULL
WM026,1-IRM-2-2-2-2,2200,"2023-08-31 05:26:20",NULL
WH011,"IRM CARBON",13200,"2023-09-08 06:57:45","2023-10-04 11:41:04"
WF057,1-IRM-2-1-1-2,792,"2023-09-11 13:48:04","2023-10-05 04:49:07"
WM422,1-IRM-2-2-1-1,1760,"2023-09-14 09:28:38","2023-09-28 05:40:32"
RM017,1-IRM-2-3-1-2,220,"2023-09-18 11:41:30","2023-10-04 09:26:09"
BM114,1-IRM-1-2-1-1,440,"2023-09-18 13:09:12","2023-09-28 05:31:25"
RN317,1-IRM-2-2-1-2,1716,"2023-09-19 13:26:38","2023-10-04 09:25:49"
WE015,1-IRM-2-3-2-3,2500,"2023-09-20 05:24:26",NULL
RF087,1-IRM-2-1-1-1,1100,"2023-09-20 05:35:42","2023-10-04 07:03:37"
WF025,1-IRM-2-1-1-3,176,"2023-09-21 07:19:46","2023-10-04 07:02:56"
WL022,1-ZINC-1-3-1-2,2200,"2023-09-22 05:05:53",NULL
WL022,1-ZINC-1-3-2-2,2200,"2023-09-22 05:06:15",NULL
WL022,1-ZINC-1-3-3-2,2200,"2023-09-22 05:06:32",NULL
WL022,1-ZINC-1-3-4-2,2200,"2023-09-22 05:06:49",NULL
WL022,1-ZINC-1-3-1-1,2200,"2023-09-22 05:07:06",NULL
WL022,1-ZINC-1-3-2-1,2200,"2023-09-22 05:07:20",NULL
WL022,1-ZINC-1-3-3-1,2200,"2023-09-22 05:07:49",NULL
WL022,1-ZINC-1-3-4-1,2200,"2023-09-22 05:08:05",NULL
WL022,1-ZINC-1-2-2-2,2200,"2023-09-22 05:08:22",NULL
WL022,1-ZINC-1-2-3-2,2200,"2023-09-22 05:08:42",NULL
WL022,1-ZINC-1-2-2-1,2200,"2023-09-22 05:09:05",NULL
WL022,1-ZINC-1-2-3-1,2200,"2023-09-22 05:09:18",NULL
WL022,1-ZINC-1-1-2-3,2200,"2023-09-22 05:09:33",NULL
WL022,1-ZINC-1-1-3-3,2200,"2023-09-22 05:09:47",NULL
WL022,1-ZINC-1-1-4-3,2200,"2023-09-22 05:10:03",NULL
WL022,"IRM FLOOR",6600,"2023-09-22 05:10:55","2023-10-02 13:00:41"
WM026,1-IRM-1-1-2-2,2000,"2023-09-22 05:15:47",NULL
WM026,1-IRM-1-1-2-3,2000,"2023-09-22 05:17:21",NULL
WF025,1-IRM-1-1-3-1,1100,"2023-09-26 04:46:32",NULL
WF025,1-IRM-1-2-3-3,1100,"2023-09-26 05:00:23",NULL
WF025,1-IRM-1-3-2-2,1100,"2023-09-26 05:06:10",NULL
WF025,1-IRM-1-3-3-1,1100,"2023-09-26 05:08:20",NULL
WL022,1-ZINC-1-1-1-3,2000,"2023-09-27 12:45:51",NULL
WL022,1-ZINC-1-1-4-2,2000,"2023-09-27 12:46:43",NULL
BM111,1-IRM-1-3-2-3,400,"2023-09-28 05:20:24",NULL
WL022,1-ZINC-1-2-1-1,2000,"2023-09-28 06:46:53",NULL
WL022,1-ZINC-1-2-1-2,2000,"2023-09-28 06:47:03",NULL
RM017,1-IRM-1-1-1-3,2200,"2023-09-28 06:50:05",NULL
WK023,1-IRM-1-3-3-3,150,"2023-09-28 06:52:33",NULL
BM111,1-IRM-2-1-2-2,400,"2023-09-28 06:56:52",NULL
WF012,1-IRM-3-2-1-3,50,"2023-09-28 06:58:30",NULL
WL013,1-IRM-2-3-1-1,1000,"2023-10-02 04:43:37","2023-10-04 09:26:02"
WN375,1-IRM-1-1-1-1,330,"2023-10-02 05:04:44",NULL
WN375,1-IRM-1-1-3-3,792,"2023-10-04 06:54:10",NULL
WN375,1-IRM-2-1-3-1,792,"2023-10-04 06:55:29",NULL
RF087,1-IRM-2-1-2-3,1375,"2023-10-04 06:56:26",NULL
BM113,1-IRM-2-2-3-1,880,"2023-10-04 06:57:32",NULL
BM113,1-IRM-2-2-2-1,880,"2023-10-04 06:58:32",NULL
WM026,1-IRM-2-2-1-3,1980,"2023-10-04 09:20:55","2023-10-04 09:25:54"
WN043,1-IRM-1-2-1-3,1100,"2023-10-05 04:51:36","2023-10-05 04:51:55"
