id,part_number,lot_qty,unit_qty,qty_type,container_description,assigned_rack_location_id,drop_off_rack_location_id,safety_stock_qty,deleted_at
1,BM111,100,100,lb,barrel,NULL,"B MINOR",400,NULL
2,BM112,2200,55,lb,bag,1-IRM-2-3-1-3,"A MINOR",1000,NULL
3,BM113,880,22,lb,bag,NULL,"B MINOR",1760,NULL
4,BM114,1375,55,lb,bag,1-IRM-1-2-1-1,"B MINOR",688,NULL
5,BM115,44,44,lb,bag,NULL,"A MINOR",0,NULL
6,EB014,2700,2700,lb,bin,NULL,BANBURY,0,NULL
7,EB026,2880,2880,lb,bin,NULL,BANBURY,11520,NULL
8,EC071,2700,2700,lb,bin,NULL,BANBURY,2700,NULL
9,EC140,2245,75,lb,bin,NULL,BANBURY,0,NULL
49,ED031,616,77,lb,bag,"IRM POLYMER",BANBURY,NULL,NULL
48,PM116,2400,2400,lb,bin,NULL,BANBURY,4800,NULL
10,RF087,1375,55,lb,bag,1-IRM-2-1-1-1,"B MINOR",688,NULL
11,RH012,2000,2000,lb,bag,NULL,"CARBON BLACK",40000,NULL
37,RH026,759,23,lb,bag,NULL,"CARBON BLACK",0,NULL
46,RH090,2200,2200,lb,bag,NULL,"CARBON BLACK",11000,NULL
12,RH351,1800,1800,lb,bag,NULL,"CARBON BLACK",0,NULL
13,RM017,2200,55,lb,bag,1-IRM-2-3-1-2,"A MINOR",4400,NULL
14,RN317,2200,44,lb,bag,1-IRM-2-2-1-2,"A MINOR",1100,NULL
15,RP078,44,44,lb,bag,NULL,"A MINOR",44,NULL
16,RS300,2500,2500,lb,barrel,NULL,"IRM OIL ROOM",0,NULL
17,TA091,2772,2772,lb,bin,NULL,BANBURY,116676,NULL
18,TB046,2250,75,lb,bin,NULL,BANBURY,0,NULL
19,TE015,2772,2772,lb,bin,NULL,BANBURY,5444,NULL
45,TS027,2772,2772,lb,bin,NULL,BANBURY,5544,NULL
20,WE015,2500,2500,lb,skid,NULL,"B MINOR",5000,NULL
41,WE028,33,33,lb,bag,NULL,"B MINOR",1,NULL
21,WF012,495,55,lb,bag,1-IRM-1-3-1-3,"B MINOR",55,NULL
22,WF025,1100,44,lb,bag,1-IRM-2-1-1-3,"B MINOR",2200,NULL
42,WF038,1100,44,lb,bag,1-IRM-1-1-1-3,"B MINOR",5,NULL
23,WF057,1320,44,lb,bag,1-IRM-2-1-1-2,"B MINOR",2200,NULL
24,WF213,55,55,lb,bag,NULL,"B MINOR",165,NULL
25,WF239,1100,44,lb,bag,1-IRM-1-1-1-2,"B MINOR",550,NULL
26,WH011,2200,2200,lb,bag,NULL,"CARBON BLACK",13200,NULL
27,WH053,1750,1750,lb,bag,NULL,"CARBON BLACK",13200,NULL
47,WK023,50,50,lb,bag,NULL,BANBURY,0,NULL
28,WL013,2250,50,lb,bag,1-IRM-2-3-1-1,"A MINOR",5000,NULL
29,WL022,2000,2000,lb,skid,NULL,"A MINOR",10000,NULL
30,WM026,2200,44,lb,bag,1-IRM-2-2-1-3,"A MINOR",2200,NULL
31,WM422,1100,44,lb,bag,1-IRM-2-2-1-1,"A MINOR",1100,NULL
32,WN031,100,100,lb,barrel,NULL,"A MINOR",0,NULL
33,WN043,2200,55,lb,bag,1-IRM-1-2-1-3,"B MINOR",0,NULL
34,WN375,792,33,lb,box,1-IRM-1-1-1-1,"A MINOR",396,NULL
35,WS019,2104,2104,lb,tote,NULL,"IRM OIL ROOM",0,NULL
