id,item,building_one_area,building_two_area,building_three_area
750,010020,RAW,WHSE,NULL
398,010022,PHOSPHATE,NULL,NULL
751,010050,RAW,NULL,NULL
399,010052,PHOSPHATE,NULL,NULL
752,010060,RAW,WHSE,NULL
400,010062,PHOSPHATE,WHSE,NULL
753,010250,RAW,NULL,NULL
172,010251,CMET,CMET,NULL
401,010252,PHOSPHATE,NULL,NULL
754,010260,RAW,NULL,NULL
402,010262,PHOSPHATE,NULL,NULL
756,010290,RAW,NULL,NULL
173,010291,CMET,CMET,NULL
404,010292,PHOSPHATE,NULL,NULL
755,010390,RAW,NULL,NULL
356,010391,EXPANSION,CMET,NULL
403,010392,PHOSPHATE,CMET,NULL
174,010431,CMET,NULL,NULL
757,010440,RAW,NULL,NULL
405,010442,PHOSPHATE,NULL,NULL
758,010460,RAW,NULL,NULL
406,010462,PHOSPHATE,NULL,NULL
759,010570,RAW,NULL,NULL
407,010572,PHOSPHATE,NULL,NULL
760,010610,RAW,NULL,NULL
408,010612,PHOSPHATE,NULL,NULL
761,010630,RAW,NULL,NULL
409,010632,PHOSPHATE,NULL,NULL
762,010680,RAW,NULL,NULL
410,010682,PHOSPHATE,NULL,NULL
763,010700,RAW,NULL,NULL
411,010702,PHOSPHATE,NULL,NULL
764,010770,RAW,NULL,NULL
412,010772,PHOSPHATE,NULL,NULL
765,010780,RAW,NULL,NULL
3732,010781,CMET,CMET,NULL
413,010782,PHOSPHATE,NULL,NULL
766,010790,RAW,NULL,NULL
414,010792,PHOSPHATE,NULL,NULL
767,010800,RAW,NULL,NULL
415,010802,PHOSPHATE,NULL,NULL
768,010840,RAW,NULL,NULL
416,010842,PHOSPHATE,NULL,NULL
769,010870,RAW,NULL,NULL
417,010872,PHOSPHATE,NULL,NULL
2568,010890,RAW,NULL,NULL
175,010911,CMET,CMET,NULL
770,010930,RAW,NULL,NULL
176,010931,CMET,CMET,NULL
418,010932,PHOSPHATE,NULL,NULL
771,010940,RAW,NULL,NULL
419,010942,PHOSPHATE,NULL,NULL
772,010950,RAW,NULL,NULL
420,010952,PHOSPHATE,NULL,NULL
773,010970,RAW,NULL,NULL
421,010972,PHOSPHATE,NULL,NULL
774,010980,RAW,NULL,NULL
422,010982,PHOSPHATE,NULL,NULL
775,011000,RAW,NULL,NULL
423,011002,PHOSPHATE,NULL,NULL
776,011010,RAW,NULL,NULL
424,011012,PHOSPHATE,NULL,NULL
777,011020,RAW,NULL,NULL
177,011021,CMET,CMET,NULL
425,011022,PHOSPHATE,NULL,NULL
778,011050,RAW,NULL,NULL
426,011052,PHOSPHATE,NULL,NULL
179,011081,CMET,CMET,NULL
779,011110,RAW,NULL,NULL
