building,id,area,disabled,machine_type
1,10957c0b838484945d14466e600a6b094b503c28,"Line 1 Press8",0,press
1,"1103 Bump Stop","1103 Bump Stop",0,press
1,1622DeflSwagePaint,1622DeflSwagePaint,0,press
2,"180L Assembly","180L Assembly",1,assembly
1,"180L Hydro Mount","180L Hydro Mount",0,press
2,180LAssembly,180LAssembly,0,assembly
1,1833DeflSwagePaint,1833DeflSwagePaint,0,press
2,"1907 RAV4","1907 RAV4",0,press
1,1d2108ec,"Line 7 Press6",0,press
1,1d76cadd7ae14437c99362d5100961e3dab5ebba,"Line 6 Press1",0,press
1,"2007 Damper Assy","2007 Damper Assy",0,press
1,2067ff337704936ad287e447784bf18689c54d33,"Line 9 Press1",0,press
1,2adc1564ee9e63129c6c6cffe7e7d58fc54cb077,"Line 11 Press 8",0,press
1,2d198d573d8c4adde5b27d3d64012063b556ccc2,"Assembly 440",0,assembly
2,47cd30dbeed0b9eb4e17b9fe941d57de4092649f,"Line 14 Press 1",0,press
1,5210fc6fc23f69413ece09957ea04eb8681f9c88,Expansion,0,press
1,586985bfcbfd4765045992a0c068df8a00c4810a,"Assembly 439",0,assembly
2,5b2fab2da45c6cf686fac64790eb202a32ad0c17,"Line 13 Press 1",0,press
1,69d7b402,"BOND LINE",0,press
1,714bf46313bf25de3ab7418963ec5354cb3c7d0f,"Line 2 Press1",0,press
1,"780B Dryfill Cell","780B Dryfill Cell",0,press
1,7cff41a1c9b6a818d3f563b7aa07eeca854955b5,Vert_Plastic_8,0,press
2,8660549aff4e187965239906b194a7316a20b2e6,"Line 12 Press 1",0,press
1,9402,9402,0,press
1,981f38fd55177c7443adace58cbb68fa8a9463e0,Vert_Plastic_1,0,press
1,a7056cd5ea400533a1ded187715e58835daeb7ce,"Line 5 Press1",0,press
1,ac379f8e4bd8846944ace1c8d1677b3b3335d993,Vert_Plastic_7,0,press
1,"Alum Blast 1",Alum_Blast_1,0,press
1,"Alum Blast 2",Alum_Blast_2,0,press
1,"Alum Blast 3","Alum Blast 3",0,press
2,"Assembly 441","Assembly 441",0,assembly
2,"Assembly 442","Assembly 442",0,assembly
2,"Assembly 443","Assembly 443",0,assembly
1,"Auto Swage 1602","Auto Swage 1602",0,press
1,b2e410c549e7ee02a1ac9f13eaad974959384247,"Line 20 Press1",0,press
1,BANBURY,BANBURY,0,press
1,"BOND LINE 1","BOND LINE 1",1,press
1,"BOND LINE 13","BOND LINE 13",0,press
1,"BOND LINE 14","BOND LINE 14",0,press
2,"Bracket Assembly","Bracket Assembly",0,assembly
