part_number,tote,description
300820,Dented,
300820,"Not Dented",
500410,Ropack,"Non Deflected/Completed"
500410,"Cardboard Boxes","International Export"
500410,Orange,"Honda Indiana"
500410,Gray,"East Liberty (Ohio)"
500410,Blue,"Honda Canada"
500490,"Cardboard Boxes","International Exports"
500490,Orange,"Honda Indiana"
500490,Gray,"East Liberty (Ohio)"
500490,Blue,"Honda Canada"
500520,Orange,"Honda Indiana"
500520,Gray,"East Liberty (Ohio)"
500520,Blue,"Honda Canada"
500520,"Cardboard Boxes","International Exports"
806385,TTAI,"Pink Totes"
806385,TTAI,"Cardboard Boxes"
806385,Dynamig,"Green Totes"
806395,"Toyota Box","Cardboard Boxes"
806395,"MPMI Box","Cardboard Boxes"
806395,"Toyota Tote","Gray Totes"
806640,"Cardboard Boxes",
806640,"C Totes",
806750,Tote,YTEC
806750,"Cardboard Boxes",
806750,Tote,"Gun Town (APMM)"
806875,Toyota,"Gray Totes"
806875,Cardboard,"Cardboard Boxes"
806875,Dynamig,"Green Totes"
806885,Dynamig,"Green Totes"
806885,Toyota,"Gray Totes"
806885,Cardboard,"Cardboard Boxes"
806985,"Cardboard Boxes",
806985,TMMGT,
806985,TMMBC,
902790,NCC,"Blue Totes"
902790,Nissan,"Gray Totes"
902800,THK,"Green Totes"
902800,Musashi,"Blue Totes"
906850,TX,"1215-7 Tote"
906850,"Silicone Box","9139 - TX Silicone Box"
906910,"Silicone Box","9139 - TX Silicone Box"
906910,TX,"1215-7 Tote"
907390,Indiana,"Orange Totes"
907390,"Cardboard Boxes","International Exports"
907390,Gray,"East Liberty (Ohio)"
907390,Blue,"Honda Canada"
908445,TMMBC,
908445,TMMGT,
908445,"Cardboard Boxes",
908770,"Cardboard Boxes",
908770,"C Tote",
908770,"I Tote",
909315,TMMBC,
909315,TMMGT,
909315,"Cardboard Boxes",
