material_number,part_number,material_description,base_quantity,base_unit_of_measure
2003X00011200,010000,"OUTER METAL - RAW",,EA
2003X00011201,010001,"OUTER METAL - BONDED",,EA
2002X00131200,010010,"010010 OUTER METAL RAW",,EA
2002X00131201,010011,"OUTER METAL-BONDED",,EA
2003X00111200,010020,"OUTER METAL - RAW",,EA
2003X00111201,010021,"OUTER METAL - BONDED",,EA
2003X00111202,010022,"OUTER METAL - PHOSPHATED",,EA
2002N05941200,010050,"OUTER METAL RAW",,EA
2002N05941201,010051,"OUTER METAL - BONDED",,EA
2002N05941202,010052,"OUTER METAL-PHOS",,EA
2002N05941300,010060,"OUTER METAL RAW",,EA
2002N05941301,010061,"OUTER METAL - BONDED",,EA
2002N05941302,010062,"OUTER METAL-PHOS",,EA
200RZ00591300,010070,"INTERMEDIATE METAL",,EA
200RZ00591201,010071,"INTERMEDIATE METAL - BONDED",,EA
200RZ00591202,010072,"INTERMEDIATE METAL - CHROMATED",,EA
200RX00151100,010080,"OUTER METAL",,EA
200RX00151101,010081,"OUTER METAL   BONDED",,EA
200RZ00591100,010090,"OUTER METAL",,EA
200RZ00591101,010091,"OUTER METAL - BONDED",,EA
2001X00501100,010100,"OUTER METAL RAW",,EA
2001X00501101,010101,"OUTER METAL   BONDED",,EA
2001X00501102,010102,"OUTER METAL PHOS",,EA
2003X00031200,010110,"OUTER METAL-RAW",,EA
2003X00031201,010111,"OUTER METAL - BONDED",,EA
2003X00031202,010112,"OUTER METAL - PHOSPHATED",,EA
2008X00051100,010120,"OUTER METAL   RAW",,EA
,010121,"OUTER METAL - BONDED",,
2009X01771100,010150,"OUTER METAL RAW",,EA
,010151,"OUTER METAL-BONDED",,
,010152,"OUTER METAL-PHOS",,
200RZ02161100,010160,"OUTER METAL- BONDED",,EA
200RZ02161101,010161,"OUTER METAL-BONDED",,EA
2002T20951100,010170,"OUTER METAL-RAW (PHASE OUT)",,EA
2002T20951101,010171,"OUTER METAL - BONDED (PHASE OUT)",,EA
2002T20951102,010172,"OUTER METAL - PHOSPHATED (PHASE OUT)",,EA
2001X00021200,010180,"010180 LOWER PLATE",,EA
2001X00021201,010181,"010181 OUTER METAL BONDED",,EA
2001G42821200,010190,"010190 OUTER PLATE",,EA
2001G42821201,010191,"010191 OUTER METAL BONDED",,EA
2001G42851200,010200,"010200 LOWER METAL WITH BOLT",,EA
2001G42851201,010201,"010201 OUTER METAL BONDED",,EA
2001X00081200,010210,"010210 LOWER METAL WITH BOLT",,EA
2001X00081201,010211,"010211 LOWER METAL WITH BOLT",,EA
,010212,"OUTER METAL-PHOS",,
,010222,"OUTER METAL PHOS.",,
2007G50271200,010230,"OUTER METAL - RAW",,EA
2007G50271201,010231,"OUTER METAL - BONDED",,EA
,010232,"OUTER METAL PHOS.",,
200RA13021100,010250,"OUTER METAL - RAW",,EA
200RA13021101,010251,"OUTER METAL - BONDED",,EA
200RA13021102,010252,"OUTER METAL - ALODINE",,EA
200RA02821200,010260,"OUTER METAL - RAW",,EA
200RA02821201,010261,"OUTER METAL - BONDED",,EA
200RA02821202,010262,"OUTER METAL - ALODINE",,EA
2007T01341200,010280,"OUTER METAL-RAW",,EA
2007T01341201,010281,"OUTER METAL - BONDED",,EA
2007T01341202,010282,"OUTER METAL - PHOSPHATED",,EA
2007N06021100,010290,"OUTER METAL",,EA
2007N06021101,010291,"OUTER METAL - BONDED",,EA
2007N06021102,010292,"OUTER METAL - PHOS",,EA
2009X01771200,010300,"OUTER METAL RAW",,EA
2002X00151200,010310,"OUTER METAL",,EA
2002X00151201,010311,"OUTER METAL - BONDED",,EA
2002X00151202,010312,"OUTER METAL - PHOSPHATED",,EA
2003L00201100,010320,"OUTER METAL",,EA
2003L00201101,010321,"OUTER METAL - BONDED",,EA
2002X00141200,010330,"OUTER METAL",,EA
2002X00141201,010331,"OUTER METAL - BONDED",,EA
2007X00451200,010340,"OUTER METAL-RAW",,EA
2007X00461200,010350,"OUTER METAL-RAW",,EA
2009X00181100,010360,"OUTER METAL RAW",,EA
2009X00181101,010361,"OUTER METAL   BONDED",,EA
2009X00181102,010362,"OUTER METAL PHOS",,EA
