code,description
101,"Goods receipt for purchase order or order"
261,"Goods issue for an order"
311,"Transfer posting storage location to storage location in one step"
325,"Transfer of storage location to storage location : blocked stock"
343,"Blocked to Unrestricted"
344,"Unrestricted to Blocked"
541,"Unrestricted to Vendor"
542,"Vendor to Unrestricted"
Z11,"Remote to Unrestricted"
321,"Inspection Usage decision to Unrestricted Use Stock"
350,"Inspection Usage decision to Block Stock"
Z71,"Cycle Counting gain Unrestricted"
Z72,"Cycle Counting loss Unrestricted"
Z77,"Cycle Counting gain Blocked"
Z78,"Cycle Counting loss Blocked"
323,"Transfer posting of storage location to storage location - inspection stock"
