Customer,Part_Number,Type,Status,Reason,Percent,Standard_Time,Cert,Line_Side_Sort,List_Date,Close_Date
Nissan,902085,Internal,Open,"100% sort for tears, nicks, knit lines, and all other visual defects on the diaphragm.  Press along top rubber and verify no cuts or fluid leaks. All visuals per the Sort operating standard. Apply blue dot as noted.",100,197,,0,"2014-11-03 00:00:00",NULL
Nissan,954070,Internal,Open,"Bracket Cracks, Journal Placement, Molding Defects, All visuals per the operating standard. ",100,NULL,,0,"2014-11-03 00:00:00",NULL
Nissan,904245,Internal,Open,"100% sort for tears, nicks, knit lines, and all other visual defects on the diaphragm.  Press along top rubber and verify no cuts or fluid leaks. - Nissan Requirement. All visuals per the 904245 Sort operating standard. Apply 10mm yellow paint dot on the QR stamp, avoid mounting area.",100,288,,0,"2014-11-03 00:00:00",NULL
Subaru,803403,Internal,Open,"DAMAGED outer tube - QA Alert 4160
Sort per op stnd. Unswaged parts, damaged outer tube, and non-fills.  Must be 100% gauged.",100,790,,0,"2023-07-27 00:00:00",NULL
Subaru,903080,Internal,Open,"service 
100% per op standard Bearing not rotating. (service part, must stay on list due to being a vital safety part)",100,250,,0,"2014-11-03 00:00:00",NULL
Subaru,903290,Internal,Open,"service 
100% per op standard Vital safety part, tears, excess rubber (service part, must stay on list due to being a vital safety part)",100,NULL,,0,"2016-05-25 00:00:00",NULL
Subaru,902590,Internal,Open,"service 
No poke-yoke (service).  Verify journal is properly seated in bracket.",100,NULL,,0,"2016-06-23 00:00:00",NULL
Subaru,903740,Internal,Open,"Damaged Inner Diameter of cup & Missing washer on top side
Damaged BOLT &Wrong bolts - Verify that A-10.9 is on bolt head - 
100% inspect per op std, Large blister, Paint blistering, split OT vital safety part 
One part per tote must be checked with 0.05 mm feeler gauge on head of each bolt. If NG is found, entire skid must be 100% feeler gauged. Notify Eng.",100,364,,0,"2024-01-04 00:00:00",NULL
Toyota,806395,Internal,Open,"Non-fills.  ALL PARTS TAKEN FROM PARTIAL MUST BE ROLL-THRU GAUGED GA3560. Reference 806395 GA3560 sort instructions.
Parts have shorter Inner Tube and ONE SPRUE PER SIDE.",100,781,,0,"2021-04-27 00:00:00",NULL
Toyota,806455,Internal,Open,"SORT 3PCS/Tote - IF ANY DEFECT IS FOUND SKID MUST BE SORTED 100%
Mixed parts - wrong color code- Verify Yellow color code and Round ID - L2 EMBOSSMENT - unpainted parts - tears in bumpers.  Each bumper must be pushed on to inspect for tears and bond failures.",20,419,,0,"2022-09-08 00:00:00",NULL
Toyota,806465,Internal,Open,"SORT 3PCS/ Tote - IF ANY DEFECTS ARE FOUND SKID MUST BE SORTED 100%
Mixed parts - wrong color code- Verify White color code and OVAL/Slotted IT - L3 EMBOSSMENT - unpainted parts - tears in bumpers.  Each bumper must be pushed on to inspect for tears and bond failures.",20,468,,0,"2022-09-08 00:00:00",NULL
Toyota,806665,Customer,Open,"SORT 3PCS/ Tote - IF ANY DEFECTS ARE FOUND SKID MUST BE SORTED 100%
Slotted IT - Mixed parts - wrong color code- Verify purple color code and OVAL/Slotted IT - S3 EMBOSSMENT - unpainted parts - tears in bumpers.  
Each bumper must be pushed on to inspect for tears and bond failures.",20,375,,0,"2024-01-04 00:00:00",NULL
Toyota,806440,Internal,Open,"Tears
IF YOU ARE NOT A REGULAR SORTER- PLEASE REVIEW THE SAMPLE DEFECTS LOCATED ON THE SORTER's DESK WITH LL OR SUPERVISOR",100,1447,,0,"2017-06-09 00:00:00",NULL
Toyota,806640,Internal,Open,"Tears
IF YOU ARE NOT A REGULAR SORTER- PLEASE REVIEW THE SAMPLE DEFECTS LOCATED ON THE SORTER's DESK WITH LL OR SUPERVISOR",100,1447,,0,"2017-06-09 00:00:00",NULL
Toyota,803915,Customer,Open,"service 
Non-fill and rubber in the I.T. GA3206 to plug gauge inner mounting hole. Verify the washer is secure to the base.",100,493,,0,"2020-08-17 00:00:00",NULL
Subaru,806536,Customer,Open,"Sort is at deflection.  100% ten point paint inspection, bond failures, paint failures.  See 806535 sort instructions.",100,NULL,,1,"2018-04-01 00:00:00",NULL
Nissan,902670,Customer,Open,"Crimp Hole, All Visuals Per Op Std (Glue Tab, Excess/No Glue, Scratches, Tears) - Multiple issues at customer. 100% gage ",100,342,,0,"2018-04-25 00:00:00",NULL
Toyota,806885,Customer,Open,"BENCHMARK SORT ONLY as of 6.6.25",100,370,yellow,0,"2022-10-27 00:00:00",NULL
Toyota,807895,Internal,Open,"GROSS NON-FILL
Non-fills. SORT PER OP STANDARD.
ALL PARTS TAKEN FROM PARTIAL TOTE RACK MUST BE GAUGED WITH GA2400.
Parts have shorter Inner Tube and TWO SPRUES PER SIDE.",100,1264,,0,"2024-04-30 00:00:00",NULL
Toyota,806385,Customer,Open,"BENCHMARK SORT ONLY as of 6.6.25",100,NULL,yellow,0,"2024-08-23 00:00:00",NULL
Subaru,902570,Internal,Open,"service 
No poke-yoke (service).  Verify journal is properly seated in bracket.",100,NULL,,0,"2019-02-26 00:00:00",NULL
Nissan,954080,Customer,Open,"Missing journal, bracket cracks, journal placement, molding defects, All visuals per the 954080 Sort operating standard. 200% sort with 2 different sorters . Gage 100% with 954080 gage. Reference sort sheet for full instructions.",200,NULL,,0,"2019-09-17 00:00:00",NULL
Toyota,908760,Internal,Open,"service 
missing snubber - 100% per 908760 sort instructions on controlled drive",100,213,,0,"2019-10-11 00:00:00",NULL
Toyota,806815,Internal,Open,"NON-FILLS - Paint / rubber on end of IT - sprue not trimmed - 100% VISUALLY INSPECT PER OP STANDARD   
IF PARTS ARE NEEDED FROM PARTIAL RACK, THOSE MUST BE ROLL-THRU GAUGED. GA3451",100,885,,0,"2024-03-06 00:00:00",NULL
Toyota,806825,Internal,Open,"BENCHMARK ONLY SORT!!!
non-fills
100% VISUALLY INSPECT PER OP STANDARD.  IF PARTS ARE NEEDED FROM PARTIAL RACK, THOSE MUST BE ROLL-THRU GAUGED. GA3452",100,1010,,0,"2024-03-11 00:00:00",NULL
Toyota,805023,Internal,Open,"service
damaged outer metal - 100% SORT PER OP STANDARD - 100% gauging required",100,1073,,0,"2019-11-26 00:00:00",NULL
Toyota,806655,Internal,Open,"SORT 3PCS/ Tote - IF ANY DEFECTS ARE FOUND SKID MUST BE SORTED 100%
Mixed parts - wrong color code - unpainted parts - tears in bumpers - ROUND ID - S2 EMBOSSMENT - LIGHT BLUE COLOR CODE DOT",20,321,,0,"2022-09-08 00:00:00",NULL
Toyota,900770,Internal,Open,"PULL UP 900770 SORT INSTRUCTIONS AND FOLLOW THESE INSTRUCTIONS - NO EXCEPTIONS. 4.4.23=Squeeze cap between finger for verifying glue",100,508,,0,"2022-06-10 00:00:00",NULL
Toyota,806835,Internal,Open,"VISUALLY INSPECT PER OP STANDARD
IF PARTS ARE NEEDED FROM PARTIAL RACK, THOSE MUST BE ROLL-THRU GAUGED. GA3453",100,790,,0,"2024-03-06 00:00:00",NULL
HONDA,902800,Customer,Open,"Non-fills - use light box, molding defects, journal seating in OT",100,144,,0,"2020-06-01 00:00:00",NULL
HONDA,906496,Customer,Open,"All items per op std - missing emboss, non-fills, splits, and rubber on bar pin",100,337,,0,"2020-06-23 00:00:00",NULL
Toyota,803535,Internal,Open,"CERT
Excess sprue - must be trimmed flush
Rubber in the ID - must plug gauge 100% of metal ID with GA890
Missing METAL - make sure metal is present and fully adhered to rubber
Rubber in the ID - must plug gauge 100% of metal ID with GA890 & 100% visually inspect per op standard",100,645,yellow,0,"2023-10-27 00:00:00",NULL
Nissan,905360,Customer,Open,"Rubber in embossed IT  (1/29/2020)  Missing yellow color code 10/26/2020. All visuals per the operating standard.",100,181,,0,"2020-10-27 00:00:00",NULL
Toyota,905390,Internal,Open,"SERVICE - missing ID
line side sort at the assembly - missing weld nut - sort per 905390 sort instructions
100% gauging of every part required",100,53,,1,"2022-08-17 00:00:00",NULL
YAA,806333,Customer,Open,"SORT PARTS FOR EXCESS FLASH AROUND TOP OF IT - DAMAGE TO INNER TUBE (MUST PASS 17.8MM PLUG), RUBBER ON MOUNTING SURFACES, MOLDING DEFECTS.",100,179,,0,"2021-09-23 00:00:00",NULL
Kobe/THK,806730,Internal,Open,"Inspect parts for non-fills and seal damage",100,162,,1,"2021-01-05 00:00:00",NULL
Toyota,803905,Internal,Open,"service 
rubber in the I.T. GA3206 to plug gauge inner mounting hole. Verify the washer is secure to the base.  Inspect per op standard.",100,312,,0,"2021-03-03 00:00:00",NULL
Toyota,806750,Internal,Open,"Line side sort (L6P12) - 100% visual inspection per op standard and boundary samples",100,87,,1,"2023-05-16 00:00:00",NULL
HONDA,907866,Customer,Open,"Non-fills, Buckles, Leaking, Molding defects - Use light box and follow 907866 - Sort op std",100,NULL,100,0,"2024-01-03 00:00:00",NULL
Toyota,909500,Internal,Open,"service 
Pull 909500 sort instructions and sort per those requirements.",100,NULL,,1,"2022-01-31 00:00:00",NULL
Toyota,909510,Internal,Open,"service 
Pull 909510 sort instructions and sort per those requirements.",100,NULL,,1,"2021-07-20 00:00:00",NULL
Toyota,806603,Internal,Open,"100% visually inspect per 806603 op standard.  Pull up op standard and review before sorting.  ALL PARTS TAKEN FROM PARTIAL TOTE RACK MUST BE GAUGED WITH GA2400.
Parts have shorter Inner Tube, THREE SPRUES PER SIDE, and NO PAINT. Aluminum Outer Tube.",100,NULL,,0,"2023-05-16 00:00:00",NULL
Toyota,806745,Customer,Open,"2CD emboss - LIGHT BLUE cc 
Missing washers, damaged washers, rubber on washer, rubber in washer.
Sort 100% visually per 806745 Paint op std with CC facing up.",100,NULL,,0,"2023-09-21 00:00:00",NULL
Toyota,806845,Internal,Open,"3CD emboss- Green cc 
Missing washers, damaged washers, rubber on washer, rubber in washer.
Sort 100% visually per 806845 Paint op std with CC facing up.",100,NULL,,0,"2023-06-01 00:00:00",NULL
