location,description,storage_location_group
"APPLIED OUT","APPLIED OUT",1000
"APPLIED ZONE","APPLIED ZONE",1000
ASSY,"Assembly Racks",1000
"ASSY ZONE","ASSY ZONE",1000
"BHWH ROW 1","BHWH ROW 1",6000
"BHWH ROW 2","BHWH ROW 2",6000
"BHWH ROW 3","BHWH ROW 3",6000
"BHWH ROW 4","BHWH ROW 4",6000
CBP,"Cardboard Packaging",1000
CBS,"Component, Brackets, and Snubbers",1000
CMET,"Cemented Metals",1000
COMP,"Compound Racks",1000
COMPLETION,"Completion Station",1000
CUSH,"Cush Components",1000
"EXPANSION OUT","EXPANSION OUT",1000
FG,"Finished Goods",6000
FGB,"Finished Goods",6000
FGR3,"Finished Goods",6000
FGT,"Finished Goods",6000
"FG-805633","FG-805633",6000
"FG-805663","FG-805663",6000
"FG-805843","FG-805843",6000
"FGZ 1","FGZ 1",6000
"FGZ 2","FGZ 2",6000
"FGZ 3","FGZ 3",6000
"FGZ 4","FGZ 4",6000
"FGZ 5","FGZ 5",6000
"FGZ 6","FGZ 6",6000
JACK,"Journals and Brackets",1000
MIX,"Mix Rack Locations",1000
"MRB CAGE EXPANSION","MRB CAGE EXPANSION",1100
PAINT,"Paint Racks",1000
PWIP,"Paint Work In Progress",1000
"RECEIVING BH","RECEIVING BH",1000
"REPACK 2","REPACK 2",1000
"REPACK","REPACK",1000
"RPM ZONE","RPM ZONE",1000
"SCRAPPED METAL","SCRAPPED METAL",1000
"SERVICE AREA IN","SERVICE AREA IN",1000
"SERVICE AREA OUT","SERVICE AREA OUT",1000
"Shipping Dock","Shipping Dock",6000
"Shipping Out","Shipping Out",6000
"SORT","SORT",1000
SVC,"Service Racks",1000
TOY,"Toyota Racks",6000
"TOYOTA OUT","TOYOTA OUT",6000
"TOYOTA RACKS","TOYOTA RACKS",6000
WELD,"Weld Racks",1000
WHSE,"Warehouse Racks",1000
WIP,"Work In Progress",1000
