name,description,default_max_containers
"pallet-rack","A pallet racking structure for storing goods and materials",1
"flow-rack","rolling dynamic storage racking for storing high use materials",11
"mold-rack","Mold racking structure for storing molds",1
"bond-lane","Designated area for parts to be bonded",11
"shipping-zone","Area designated for soon to be shipped goods",
"receiving-zone","Receiving area",
"building-exit","An area for materials to leave a building location",
"inventory-relief","Inventory relief point",
"sort","Sort area",
"floor","Floor overflow",
"trailer","trailers in parking lot",
"recycling","recycling dumpsters and trailers",
"repack","Repacking area for materials",
"machine-staging","Machine staging area",
