id,building,area,aisle,bay,shelf,position,type,split_request,disabled,exclude_allocations,restrict_request_allocations
1-BL-0-0-0-1,1,BL,0,0,0,1,9,0,0,0,0
1-BL-0-0-0-2,1,BL,0,0,0,2,9,0,0,0,0
1-BL-0-0-0-4,1,BL,0,0,0,4,9,0,0,0,0
1-BL-0-0-0-5,1,BL,0,0,0,5,9,0,0,0,0
1-BL-0-0-0-6,1,BL,0,0,0,6,9,0,0,0,0
1-BL-0-0-0-8,1,BL,0,0,0,8,9,0,0,0,0
1-BL-0-0-0-9,1,BL,0,0,0,9,9,0,0,0,0
1-BL-0-0-0-11,1,BL,0,0,0,11,9,0,0,0,0
1-BL-0-0-0-12,1,BL,0,0,0,12,9,0,0,0,0
1-BL-0-0-0-13,1,BL,0,0,0,13,9,0,0,0,0
1-BL-0-0-0-14,1,BL,0,0,0,14,9,0,0,0,0
