id,building,area,aisle,bay,shelf,position,type,split_request,disabled,exclude_allocations,restrict_request_allocations
"500200 STORAGE",1,"500200 STORAGE",0,0,0,0,30,0,0,0,0
ALUMINUM,1,ALUMINUM,0,0,0,0,30,0,0,0,0
"BOND QUALITY",1,"BOND QUALITY",0,0,0,0,30,0,0,0,0
BRATWMRB,1,BRATWMRB,0,0,0,0,30,0,0,0,0
"BURN OFF FLOOR",1,"BURN OFF FLOOR",0,0,0,0,30,0,0,0,0
"BURN OFF OVEN",1,"BURN OFF OVEN",0,0,0,0,30,0,0,0,0
1-CBS-1-1-1-0,1,CBS,1,1,1,0,30,0,0,0,0
1-CBS-1-1-2-0,1,CBS,1,1,2,0,30,0,0,0,0
1-CBS-1-1-3-0,1,CBS,1,1,3,0,30,0,0,0,0
1-CBS-1-1-4-0,1,CBS,1,1,4,0,30,0,0,0,0
1-CBS-1-2-1-0,1,CBS,1,2,1,0,30,0,0,0,0
1-CBS-1-2-2-0,1,CBS,1,2,2,0,30,0,0,0,0
1-CBS-1-2-3-0,1,CBS,1,2,3,0,30,0,0,0,0
1-CBS-1-2-4-0,1,CBS,1,2,4,0,30,0,0,0,0
1-CBS-1-3-1-0,1,CBS,1,3,1,0,30,0,0,0,0
1-CBS-1-3-2-0,1,CBS,1,3,2,0,30,0,0,0,0
1-CBS-1-3-3-0,1,CBS,1,3,3,0,30,0,0,0,0
1-CBS-1-3-4-0,1,CBS,1,3,4,0,30,0,0,0,0
1-CBS-2-1-1-0,1,CBS,2,1,1,0,30,0,0,0,0
1-CBS-2-1-2-0,1,CBS,2,1,2,0,30,0,0,0,0
1-CBS-2-1-3-0,1,CBS,2,1,3,0,30,0,0,0,0
1-CBS-2-1-4-0,1,CBS,2,1,4,0,30,0,0,0,0
"CMET OVERFLOW",1,"CMET OVERFLOW",0,0,0,0,30,0,0,0,0
"COLD FLOOR",1,"COLD FLOOR",0,0,0,0,30,0,0,1,0
"COLD ROOM",1,"COLD ROOM",0,0,0,0,30,0,0,0,0
"1-COMPLETION-0-0-0-0",1,"COMPLETION",0,0,0,0,30,0,0,0,0
"CURED OUT",1,"CURED OUT",0,0,0,0,30,0,0,0,0
"CURED TRAILER",1,"CURED TRAILER",0,0,0,0,30,0,0,0,0
"DEGAS OVEN",1,"DEGAS OVEN",0,0,0,0,30,0,0,0,0
"DEGAS OVEN 2",1,"DEGAS OVEN 2",0,0,0,0,30,0,0,0,0
"DEGAS STAGING",1,"DEGAS STAGING",0,0,0,0,30,0,0,0,0
"DGS OVERFLOW",1,"DGS OVERFLOW",0,0,0,0,30,0,0,0,0
"EXPANSION 2",1,EXPANSION,0,0,0,0,30,0,0,0,0
"EXPANSION 1",1,EXPANSION,0,0,0,0,30,0,0,0,0
"HOT ROOM",1,"HOT ROOM",0,0,0,0,30,0,0,0,0
INTRA091,1,INTRA091,0,0,0,0,30,0,0,0,0
INTRNSIT,1,INTRNSIT,0,0,0,0,30,0,0,0,0
"IRM CARBON",1,"IRM CARBON",0,0,0,0,30,0,0,0,0
IRMCOMP,1,"IRM COMP",0,0,0,0,30,0,0,0,0
