id,building,area,aisle,bay,shelf,position,type,split_request,disabled,exclude_allocations
"1103 Bump Stop",1,"1103 Bump Stop",0,0,0,0,20,0,0,0
1622DeflSwagePaint,1,1622DeflSwagePaint,0,0,0,0,20,0,0,0
"180L Hydro Mount",1,"180L Hydro Mount",0,0,0,0,20,0,0,0
1833DeflSwagePaint,1,1833DeflSwagePaint,0,0,0,0,20,0,0,0
"2007 Damper Assy",1,"2007 Damper Assy",0,0,0,0,20,0,0,0
"780B Dryfill Cell",1,"780B Dryfill Cell",0,0,0,0,20,0,0,0
9402,1,9402,0,0,0,0,20,0,0,0
"Alum Blast 3",1,"Alum Blast 3",0,0,0,0,20,0,0,0
"Alum Blast 1",1,Alum_Blast_1,0,0,0,0,20,0,0,0
"Alum Blast 2",1,Alum_Blast_2,0,0,0,0,20,0,0,0
586985bfcbfd4765045992a0c068df8a00c4810a,1,"Assembly 439",0,0,0,0,20,0,0,0
2d198d573d8c4adde5b27d3d64012063b556ccc2,1,"Assembly 440",0,0,0,0,20,0,0,0
"Auto Swage 1602",1,"Auto Swage 1602",0,0,0,0,20,0,0,0
BANBURY,1,BANBURY,0,0,0,0,20,0,0,0
69d7b402,1,"BOND LINE",0,0,0,0,20,0,0,0
"BOND LINE 1",1,"BOND LINE 1",0,0,0,0,20,0,1,0
"BOND LINE 13",1,"BOND LINE 13",0,0,0,0,20,0,0,0
"BOND LINE 14",1,"BOND LINE 14",0,0,0,0,20,0,0,0
"Bumpcrimp 2211",1,"Bumpcrimp 2211",0,0,0,0,20,0,0,0
"CARBON WEIGHT",1,"CARBON WEIGHT",0,0,0,0,20,0,0,0
"COMPOUND STAGING",1,"COMPOUND STAGING",0,0,0,0,20,0,1,0
Dryfill,1,Dryfill,0,0,0,0,20,0,0,0
DSTOP,1,DSTOP,0,0,0,0,20,0,0,0
5210fc6fc23f69413ece09957ea04eb8681f9c88,1,Expansion,0,0,0,0,20,0,0,0
Felt,1,Felt,0,0,0,0,20,1,1,0
"Felt Station",1,"Felt Station",0,0,0,0,20,0,0,0
