id,item,hold_time,degas,post_sort_location,service_part,sort_time,standard_pack_size
30,806370,24,0,NULL,0,NULL,NULL
31,806490,8,0,NULL,0,NULL,NULL
32,806360,0,24,NULL,0,NULL,NULL
33,805930,24,0,NULL,0,NULL,NULL
34,802500,24,0,NULL,0,NULL,NULL
35,803750,8,0,NULL,0,NULL,NULL
36,803760,8,0,NULL,0,NULL,NULL
37,803770,8,0,NULL,0,NULL,NULL
38,804700,24,0,NULL,0,NULL,NULL
39,805440,96,0,NULL,0,NULL,NULL
40,805550,8,0,NULL,0,NULL,NULL
41,806120,48,0,NULL,0,NULL,NULL
42,806570,4,0,NULL,0,NULL,NULL
43,819960,24,0,NULL,0,NULL,NULL
44,858700,24,0,NULL,0,NULL,NULL
45,802760,12,0,NULL,0,NULL,NULL
46,803990,0,24,NULL,0,NULL,NULL
47,804250,0,24,NULL,0,NULL,NULL
48,804280,0,24,NULL,0,NULL,NULL
49,805080,0,24,NULL,0,NULL,NULL
50,805190,0,24,NULL,0,NULL,NULL
51,805250,0,24,NULL,0,NULL,NULL
52,805360,0,24,NULL,0,NULL,NULL
53,805520,0,24,NULL,0,NULL,NULL
54,805530,0,24,NULL,0,NULL,NULL
55,805540,0,24,NULL,0,NULL,NULL
56,806000,0,24,NULL,0,NULL,NULL
57,806210,0,24,NULL,0,NULL,NULL
58,806720,8,24,NULL,0,NULL,NULL
59,807860,24,0,NULL,0,NULL,NULL
60,807870,0,24,NULL,0,NULL,NULL
61,808760,0,24,NULL,0,NULL,NULL
62,814840,0,24,NULL,0,NULL,NULL
63,819680,0,24,NULL,0,NULL,NULL
64,093311,0,0,NULL,1,NULL,2000
65,010021,0,0,NULL,1,NULL,400
66,010051,0,0,NULL,1,NULL,1750
67,010061,0,0,NULL,1,NULL,2250
68,010091,0,0,NULL,1,NULL,NULL
69,010161,0,0,NULL,1,NULL,NULL
70,010181,0,0,NULL,1,NULL,NULL
71,010251,0,0,NULL,1,NULL,NULL
72,010331,0,0,NULL,1,NULL,NULL
73,010441,0,0,NULL,1,NULL,1000
74,010461,0,0,NULL,1,NULL,833
75,010681,0,0,NULL,1,NULL,1000
76,010771,0,0,NULL,1,NULL,1000
77,010791,0,0,NULL,1,NULL,1250
78,010801,0,0,NULL,1,NULL,360
79,010841,0,0,NULL,1,NULL,480
80,010971,0,0,NULL,1,NULL,500
81,011121,0,0,NULL,1,NULL,NULL
82,011141,0,0,NULL,1,NULL,400
83,011151,0,0,NULL,1,NULL,5000
84,011181,0,0,NULL,1,NULL,250
85,011191,0,0,NULL,1,NULL,NULL
86,011251,0,0,NULL,1,NULL,700
87,011271,0,0,NULL,1,NULL,500
88,011281,0,0,NULL,1,NULL,NULL
89,011811,0,0,NULL,1,NULL,350
90,011931,0,0,NULL,1,NULL,700
91,011951,0,0,NULL,1,NULL,400
92,011961,0,0,NULL,1,NULL,500
93,012011,0,0,NULL,1,NULL,2000
94,012021,0,0,NULL,1,NULL,600
95,087441,0,0,NULL,1,NULL,NULL
96,090761,0,0,NULL,1,NULL,NULL
97,094241,0,0,NULL,1,NULL,NULL
98,099121,0,0,NULL,1,NULL,NULL
99,100121,0,0,NULL,1,NULL,NULL
100,100161,0,0,NULL,1,NULL,NULL
101,100171,0,0,NULL,1,NULL,NULL
102,100176,0,0,NULL,1,NULL,NULL
103,100271,0,0,NULL,1,NULL,NULL
104,100451,0,0,NULL,1,NULL,NULL
105,100491,0,0,NULL,1,NULL,NULL
106,100541,0,0,NULL,1,NULL,2500
107,100711,0,0,NULL,1,NULL,NULL
108,100751,0,0,NULL,1,NULL,NULL
109,100781,0,0,NULL,1,NULL,NULL
110,100891,0,0,NULL,1,NULL,NULL
111,100971,0,0,NULL,1,NULL,2500
112,100991,0,0,NULL,1,NULL,NULL
113,101141,0,0,NULL,1,NULL,4000
114,101181,0,0,NULL,1,NULL,2000
115,101191,0,0,NULL,1,NULL,1700
116,101201,0,0,NULL,1,NULL,2000
117,101401,0,0,NULL,1,NULL,2150
118,101441,0,0,NULL,1,NULL,3333
119,101561,0,0,NULL,1,NULL,NULL
120,101571,0,0,NULL,1,NULL,2500
121,101581,0,0,NULL,1,NULL,NULL
122,101611,0,0,NULL,1,NULL,934
123,101661,0,0,NULL,1,NULL,NULL
124,101721,0,0,NULL,1,NULL,NULL
125,101731,0,0,NULL,1,NULL,NULL
126,101751,0,0,NULL,1,NULL,5000
127,101931,0,0,NULL,1,NULL,666
